species,genus,sNum,gNum,Dprior,FullSpp,FullGrp,FullGen,FullTribe,FullSF,FullF
Apha_subt,Apha,1,1,1,subterranea,subterranea,Aphaenogaster,Stenammini,Myrmicinae,Formicidae
Camp_aeth,Camp,2,2,1,aethiops,Tanaemyrmex,Camponotus,Camponotini,Formicinae,Formicidae
Camp_fall,Camp,3,2,1,fallax,Myrmentoma,Camponotus,Camponotini,Formicinae,Formicidae
Camp_herc,Camp,4,2,1,herculeanus,Camponotus,Camponotus,Camponotini,Formicinae,Formicidae
Camp_lign,Camp,5,2,1,ligniperda,Camponotus,Camponotus,Camponotini,Formicinae,Formicidae
Camp_pice,Camp,6,2,1,piceus,Myrmentoma,Camponotus,Camponotini,Formicinae,Formicidae
Colo_trun,Colo,7,3,1,truncata,Colobopsis,Colobopsis,Camponotini,Formicinae,Formicidae
Crem_scut,Crem,8,4,1,scutellaris,Crematogaster,Crematogaster,Crematogastrini,Myrmicinae,Formicidae
Doli_quad,Doli,9,5,1,quadripunctatus,Dolichoderus,Dolichoderus,Dolichoderini,Dolichoderinae,Formicidae
Form_cine,Form,10,6,1,cinerea,cinerea,Formica,Formicini,Formicinae,Formicidae
Form_cuni,Form,11,6,1,cunicularia,rufibarbis,Formica,Formicini,Formicinae,Formicidae
Form_exse,Form,12,6,1,exsecta,exsecta,Formica,Formicini,Formicinae,Formicidae
Form_fusca,Form,13,6,1,fusca,fusca,Formica,Formicini,Formicinae,Formicidae
Form_fusco,Form,14,6,1,fuscocinerea,fusca,Formica,Formicini,Formicinae,Formicidae
Form_lema,Form,15,6,1,lemani,fusca,Formica,Formicini,Formicinae,Formicidae
Form_lugu/para,Form,16,6,1,(para)lugubris,rufa,Formica,Formicini,Formicinae,Formicidae
Form_pice,Form,17,6,1,picea,fusca,Formica,Formicini,Formicinae,Formicidae
Form_poly,Form,18,6,1,polyctena,rufa,Formica,Formicini,Formicinae,Formicidae
Form_prat,Form,19,6,1,pratensis,rufa,Formica,Formicini,Formicinae,Formicidae
Form_pres,Form,20,6,1,pressilabris,exsecta,Formica,Formicini,Formicinae,Formicidae
Form_rufa,Form,21,6,1,rufa,rufa,Formica,Formicini,Formicinae,Formicidae
Form_rufi,Form,22,6,1,rufibarbis,fusca,Formica,Formicini,Formicinae,Formicidae
Form_sang,Form,23,6,1,sanguinea,sanguinea,Formica,Formicini,Formicinae,Formicidae
Form_sely,Form,24,6,1,selysi,fusca,Formica,Formicini,Formicinae,Formicidae
Form_trun,Form,25,6,1,truncorum,rufa,Formica,Formicini,Formicinae,Formicidae
Formx_niti,Formx,26,7,1,nitidulus,Formicoxenus,Formicoxenus,Crematogastrini,Myrmicinae,Formicidae
Harp_subl,Harp,27,8,1,sublaevis,Harpagoxenus,Harpagoxenus,Crematogastrini,Myrmicinae,Formicidae
Lasi_alie-GR,Lasi,28,9,1,alienus,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_brun,Lasi,29,9,1,brunneus,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_emar,Lasi,30,9,1,emarginatus,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_flav,Lasi,31,9,1,flavus,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_fuli,Lasi,32,9,1,fuliginosus,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_mixt,Lasi,33,9,1,mixtus,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_myop,Lasi,34,9,1,myops,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_nige,Lasi,35,9,1,niger,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_para,Lasi,36,9,1,paralienus,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_plat,Lasi,37,9,1,platythorax,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_psam,Lasi,38,9,1,psammophilus,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lasi_umbr,Lasi,39,9,1,umbratus,Lasius,Lasius,Lasiini,Formicinae,Formicidae
Lept_acer,Lept,40,10,1,acervorum,Leptothorax,Leptothorax,Crematogastrini,Myrmicinae,Formicidae
Lept_gred,Lept,41,10,1,gredleri,Leptothorax,Leptothorax,Crematogastrini,Myrmicinae,Formicidae
Lept_musc,Lept,42,10,1,muscorum,Leptothorax,Leptothorax,Crematogastrini,Myrmicinae,Formicidae
Mani_rubi,Mani,43,11,1,rubida,Manica,Manica,Myrmicini,Myrmicinae,Formicidae
Myrm_curv,Myrm,44,12,1,curvithorax,scabrinodis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_gall,Myrm,45,12,1,gallienii,scabrinodis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_lobi,Myrm,46,12,1,lobicornis,lobicornis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_lobu,Myrm,47,12,1,lobulicornis,lobicornis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_lona,Myrm,48,12,1,lonae,scabrinodis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_rubr,Myrm,49,12,1,rubra,rubra,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_rugi,Myrm,50,12,1,ruginodis,rubra,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_rugu,Myrm,51,12,1,rugulosa,scabrinodis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_sabu,Myrm,52,12,1,sabuleti,scabrinodis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_scab,Myrm,53,12,1,scabrinodis,scabrinodis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_sche,Myrm,54,12,1,schencki,schencki,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_spec,Myrm,55,12,1,specioides,scabrinodis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_sulc,Myrm,56,12,1,sulcinodis,lobicornis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrm_vand,Myrm,57,12,1,vandeli,scabrinodis,Myrmica,Myrmicini,Myrmicinae,Formicidae
Myrme_gram,Myrme,58,13,1,graminicola,graminicola,Myrmecina,Crematogastrini,Myrmicinae,Formicidae
Plag_pall,Plag,59,14,1,pallidula,Plagiolepis,Plagiolepis,Plagiolepidini,Formicinae,Formicidae
Poly_rufe,Poly,60,15,1,rufescens,Polyergus,Polyergus,Formicini,Formicinae,Formicidae
Pone_coar,Pone,61,16,1,coarctata,Ponera,Ponera,Ponerini,Ponerinae,Formicidae
Pone_test,Pone,62,16,1,testacea,Ponera,Ponera,Ponerini,Ponerinae,Formicidae
Sole_fuga,Sole,63,17,1,fugax,Solenopsis,Solenopsis,Solenopsidini,Myrmicinae,Formicidae
Sten_debi,Sten,64,18,1,debile,Stenamma,Stenamma,Stenammini,Myrmicinae,Formicidae
Tapi_erra-GR,Tapi,65,19,1,erraticum,Tapinoma,Tapinoma,Tapinomini,Dolichoderinae,Formicidae
Tapi_subb,Tapi,66,19,1,subboreale,Tapinoma,Tapinoma,Tapinomini,Dolichoderinae,Formicidae
Temn_affi,Temn,67,20,1,affinis,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
