Species,latex
\emph{Aphaenogaster subterranea},\emph{Aphaenogaster subterranea} & 395 & 710 & 39 (0.6\%) & 2 (0.2\%) \\
\emph{Camponotus aethiops},\emph{Camponotus aethiops} & 430 & 430 & 1 (0.0\%) & 0 (0.0\%) \\
\emph{Camponotus fallax},\emph{Camponotus fallax} & 369 & 459 & 16 (0.2\%) & 0 (0.0\%) \\
\emph{Camponotus herculeanus},\emph{Camponotus herculeanus} & 665 & 1839 & 38 (0.5\%) & 0 (0.0\%) \\
\emph{Camponotus ligniperda},\emph{Camponotus ligniperda} & 381 & 1497 & 123 (1.8\%) & 3 (0.3\%) \\
\emph{Camponotus piceus},\emph{Camponotus piceus} & 430 & 1323 & 13 (0.2\%) & 0 (0.0\%) \\
\emph{Colobopsis truncata},\emph{Colobopsis truncata} & 369 & 803 & 24 (0.3\%) & 1 (0.1\%) \\
\emph{Crematogaster scutellaris},\emph{Crematogaster scutellaris} & 415 & 415 & 1 (0.0\%) & 0 (0.0\%) \\
\emph{Dolichoderus quadripunctatus},\emph{Dolichoderus quadripunctatus} & 383 & 746 & 16 (0.2\%) & 0 (0.0\%) \\
\emph{Formica cinerea},\emph{Formica cinerea} & 365 & 1085 & 3 (0.0\%) & 1 (0.1\%) \\
\emph{Formica cunicularia},\emph{Formica cunicularia} & 369 & 1874 & 419 (6.0\%) & 10 (0.9\%) \\
\emph{Formica exsecta},\emph{Formica exsecta} & 918 & 1738 & 13 (0.2\%) & 0 (0.0\%) \\
\emph{Formica fusca},\emph{Formica fusca} & 414 & 1984 & 132 (1.9\%) & 32 (2.9\%) \\
\emph{Formica fuscocinerea},\emph{Formica fuscocinerea} & 950 & 950 & 2 (0.0\%) & 0 (0.0\%) \\
\emph{Formica lemani},\emph{Formica lemani} & 607 & 2332 & 144 (2.1\%) & 111 (10.2\%) \\
\emph{Formica lugubris/paralugubris},\emph{Formica lugubris/paralugubris} & 489 & 2151 & 514 (7.3\%) & 26 (2.4\%) \\
\emph{Formica picea},\emph{Formica picea} & 1876 & 1876 & 1 (0.0\%) & 0 (0.0\%) \\
\emph{Formica polyctena},\emph{Formica polyctena} & 396 & 1612 & 179 (2.6\%) & 1 (0.1\%) \\
\emph{Formica pratensis},\emph{Formica pratensis} & 376 & 1984 & 91 (1.3\%) & 5 (0.5\%) \\
\emph{Formica pressilabris},\emph{Formica pressilabris} & 1113 & 2285 & 239 (3.4\%) & 24 (2.2\%) \\
\emph{Formica rufa},\emph{Formica rufa} & 398 & 1985 & 258 (3.7\%) & 4 (0.4\%) \\
\emph{Formica rufibarbis},\emph{Formica rufibarbis} & 369 & 1523 & 185 (2.6\%) & 5 (0.5\%) \\
\emph{Formica sanguinea},\emph{Formica sanguinea} & 606 & 1695 & 83 (1.2\%) & 2 (0.2\%) \\
\emph{Formica selysi},\emph{Formica selysi} & 934 & 1792 & 2 (0.0\%) & 0 (0.0\%) \\
\emph{Formica truncorum},\emph{Formica truncorum} & 1018 & 1407 & 6 (0.1\%) & 0 (0.0\%) \\
\emph{Formicoxenus nitidulus},\emph{Formicoxenus nitidulus} & 1143 & 1826 & 8 (0.1\%) & 1 (0.1\%) \\
\emph{Harpagoxenus sublaevis},\emph{Harpagoxenus sublaevis} & 1428 & 1428 & 1 (0.0\%) & 0 (0.0\%) \\
\emph{Lasius alienus},\emph{Lasius alienus} & 414 & 769 & 9 (0.1\%) & 1 (0.1\%) \\
\emph{Lasius brunneus},\emph{Lasius brunneus} & 379 & 1266 & 78 (1.1\%) & 4 (0.4\%) \\
\emph{Lasius emarginatus},\emph{Lasius emarginatus} & 369 & 1695 & 486 (6.9\%) & 2 (0.2\%) \\
\emph{Lasius flavus},\emph{Lasius flavus} & 365 & 1783 & 368 (5.3\%) & 134 (12.3\%) \\
\emph{Lasius fuliginosus},\emph{Lasius fuliginosus} & 372 & 1479 & 182 (2.6\%) & 6 (0.6\%) \\
\emph{Lasius mixtus},\emph{Lasius mixtus} & 502 & 1319 & 5 (0.1\%) & 1 (0.1\%) \\
\emph{Lasius myops},\emph{Lasius myops} & 394 & 639 & 4 (0.1\%) & 0 (0.0\%) \\
\emph{Lasius niger},\emph{Lasius niger} & 367 & 1803 & 1381 (19.7\%) & 186 (17.1\%) \\
\emph{Lasius paralienus},\emph{Lasius paralienus} & 430 & 848 & 33 (0.5\%) & 8 (0.7\%) \\
\emph{Lasius platythorax},\emph{Lasius platythorax} & 368 & 1440 & 192 (2.7\%) & 11 (1.0\%) \\
\emph{Lasius psammophilus},\emph{Lasius psammophilus} & 432 & 432 & 1 (0.0\%) & 0 (0.0\%) \\
\emph{Lasius umbratus},\emph{Lasius umbratus} & 428 & 428 & 1 (0.0\%) & 0 (0.0\%) \\
\emph{Leptothorax acervorum},\emph{Leptothorax acervorum} & 473 & 2043 & 30 (0.4\%) & 4 (0.4\%) \\
\emph{Leptothorax gredleri},\emph{Leptothorax gredleri} & 1319 & 1337 & 3 (0.0\%) & 0 (0.0\%) \\
\emph{Leptothorax muscorum},\emph{Leptothorax muscorum} & 1494 & 1494 & 1 (0.0\%) & 0 (0.0\%) \\
\emph{Manica rubida},\emph{Manica rubida} & 726 & 2183 & 54 (0.8\%) & 18 (1.7\%) \\
\emph{Myrmecina graminicola},\emph{Myrmecina graminicola} & 373 & 747 & 25 (0.4\%) & 2 (0.2\%) \\
\emph{Myrmica curvithorax},\emph{Myrmica curvithorax} & 495 & 694 & 1 (0.0\%) & 2 (0.2\%) \\
\emph{Myrmica gallienii},\emph{Myrmica gallienii} & 429 & 429 & 1 (0.0\%) & 0 (0.0\%) \\
\emph{Myrmica lobicornis},\emph{Myrmica lobicornis} & 1227 & 1759 & 1 (0.0\%) & 6 (0.6\%) \\
\emph{Myrmica lobulicornis},\emph{Myrmica lobulicornis} & 1107 & 1929 & 6 (0.1\%) & 15 (1.4\%) \\
\emph{Myrmica lonae},\emph{Myrmica lonae} & 1210 & 1490 & 1 (0.0\%) & 1 (0.1\%) \\
\emph{Myrmica rubra},\emph{Myrmica rubra} & 365 & 1552 & 92 (1.3\%) & 23 (2.1\%) \\
\emph{Myrmica ruginodis},\emph{Myrmica ruginodis} & 371 & 2014 & 276 (3.9\%) & 116 (10.6\%) \\
\emph{Myrmica rugulosa},\emph{Myrmica rugulosa} & 502 & 502 & 0 (0.0\%) & 1 (0.1\%) \\
\emph{Myrmica sabuleti},\emph{Myrmica sabuleti} & 365 & 1876 & 118 (1.7\%) & 39 (3.6\%) \\
\emph{Myrmica scabrinodis},\emph{Myrmica scabrinodis} & 399 & 2030 & 34 (0.5\%) & 82 (7.5\%) \\
\emph{Myrmica schencki},\emph{Myrmica schencki} & 401 & 2103 & 11 (0.2\%) & 5 (0.5\%) \\
\emph{Myrmica specioides},\emph{Myrmica specioides} & 369 & 1317 & 49 (0.7\%) & 7 (0.6\%) \\
\emph{Myrmica sulcinodis},\emph{Myrmica sulcinodis} & 1687 & 1821 & 0 (0.0\%) & 2 (0.2\%) \\
\emph{Myrmica vandeli},\emph{Myrmica vandeli} & 1041 & 1442 & 0 (0.0\%) & 3 (0.3\%) \\
\emph{Plagiolepis pallidula},\emph{Plagiolepis pallidula} & 424 & 591 & 40 (0.6\%) & 0 (0.0\%) \\
\emph{Polyergus rufescens},\emph{Polyergus rufescens} & 384 & 763 & 4 (0.1\%) & 0 (0.0\%) \\
\emph{Ponera coarctata},\emph{Ponera coarctata} & 400 & 623 & 12 (0.2\%) & 0 (0.0\%) \\
\emph{Ponera testacea},\emph{Ponera testacea} & 430 & 430 & 1 (0.0\%) & 0 (0.0\%) \\
\emph{Solenopsis fugax},\emph{Solenopsis fugax} & 366 & 1511 & 106 (1.5\%) & 34 (3.1\%) \\
\emph{Stenamma debile},\emph{Stenamma debile} & 384 & 734 & 2 (0.0\%) & 0 (0.0\%) \\
\emph{Tapinoma darioi},\emph{Tapinoma darioi} & 369 & 427 & 4 (0.1\%) & 0 (0.0\%) \\
\emph{Tapinoma erraticum},\emph{Tapinoma erraticum} & 369 & 1444 & 195 (2.8\%) & 8 (0.7\%) \\
\emph{Tapinoma magnum},\emph{Tapinoma magnum} & 369 & 1283 & 25 (0.4\%) & 0 (0.0\%) \\
\emph{Tapinoma subboreale},\emph{Tapinoma subboreale} & 378 & 1087 & 54 (0.8\%) & 3 (0.3\%) \\
\emph{Temnothorax affinis},\emph{Temnothorax affinis} & 365 & 912 & 28 (0.4\%) & 1 (0.1\%) \\
\emph{Temnothorax corticalis},\emph{Temnothorax corticalis} & 434 & 657 & 2 (0.0\%) & 0 (0.0\%) \\
\emph{Temnothorax interruptus},\emph{Temnothorax interruptus} & 424 & 1184 & 4 (0.1\%) & 0 (0.0\%) \\
\emph{Temnothorax luteus/parvulus},\emph{Temnothorax luteus/parvulus} & 613 & 623 & 2 (0.0\%) & 1 (0.1\%) \\
\emph{Temnothorax nigriceps},\emph{Temnothorax nigriceps} & 723 & 1631 & 17 (0.2\%) & 2 (0.2\%) \\
\emph{Temnothorax nylanderi},\emph{Temnothorax nylanderi} & 371 & 1341 & 71 (1.0\%) & 68 (6.2\%) \\
