"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_2__L_SoilTSt",0,0,-3702.4440615701,124.64162555286,198.258705177222,21.3788087832369,7404.8881231402,249.283251105719
"WY_2__L_CnpyOpn",-16.9133512549642,25.6852404517128,-3719.35741282509,130.258196285424,294.196590888704,30.710644385831,7438.71482565017,260.516392570847
"WY_2__R_Forest",-17.5786270512133,17.750000882892,-3720.02268862122,124.452591982486,170.188982638535,19.5769887784559,7440.04537724243,248.905183964973
"WY_2__L_Pasture",-32.3793472142884,19.7629830097392,-3734.82340878433,125.910882061231,223.912310973881,22.789272450558,7469.64681756866,251.821764122461
"WY_2__L_VegTot",-41.2318987200058,15.2774424652715,-3743.67596029008,124.626924286568,183.102016340338,19.8815309564392,7487.35192058016,249.253848573136
"WY_2__R_lcH",-42.3392113833893,15.3043147418772,-3744.7832729534,124.630552245792,171.740650651939,19.5636790835933,7489.5665459068,249.261104491585
"WY_2__R_npp",-48.2105071395287,14.6217010135625,-3750.65456870956,124.927335873003,165.131278839694,19.4871237862498,7501.30913741913,249.854671746005
"WY_2__L_Built",-55.8037544143744,14.8942777939831,-3758.24781598436,124.707747878612,178.619701406929,18.6853484414843,7516.49563196872,249.415495757224
"WY_2__R_aspctN",-58.8277093630747,14.6372200041447,-3761.27177093308,125.448363947758,170.667210368702,21.2955318485532,7522.54354186615,250.896727895516
"WY_2__R_rdLen",-61.8901794924037,15.7684898435191,-3764.33424106236,124.543958788276,165.214584041015,19.1583122113126,7528.66848212471,249.087917576551
"WY_2__R_Edge",-68.7362946161934,14.1430880584604,-3771.18035618627,125.83055863973,177.459800257929,21.1943818660423,7542.36071237255,251.661117279459
"WY_2__R_bldgPer",-85.8886928148472,19.1464903877912,-3788.33275438475,125.080865589217,163.199515877209,20.3633756136279,7576.6655087695,250.161731178434
"WY_2__R_AP",-123.022734624236,21.0842861115014,-3825.46679619436,124.290174523281,181.040824252663,17.4435794145046,7650.93359238871,248.580349046562
