"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_3__L_Pasture",0,0,-3772.58592942764,132.111076451614,381.169291769757,31.9441928488396,7545.17185885528,264.222152903229
"Y_3__L_SoilTSt",-7.18532086782569,15.1698657218196,-3779.7712502954,132.08899961324,374.125702871741,32.8690520782995,7559.54250059079,264.17799922648
"Y_3__L_VegTot",-12.7935142771697,11.4900738710514,-3785.37944370489,132.154640607922,364.368135647253,31.8005850250269,7570.75888740978,264.309281215845
"Y_3__L_Built",-12.9196840302446,11.3846297527722,-3785.5056134578,132.147747128258,366.405470818286,31.845245801936,7571.01122691559,264.295494256516
"Y_3__R_bldgPer",-39.3391700665731,11.732548486378,-3811.92509949412,133.327535082864,377.313714236763,33.0697458437947,7623.85019898823,266.655070165728
"Y_3__R_npp",-40.0482917291489,11.9505900545789,-3812.63422115672,133.1486083196,381.283835017443,32.5587151675068,7625.26844231345,266.297216639199
"Y_3__R_Edge",-45.7910190075979,14.5148900794145,-3818.37694843527,134.176456808539,397.270480341741,34.7640832485266,7636.75389687054,268.352913617078
"Y_3__R_lcH",-45.8521214731404,12.1500634045253,-3818.43805090059,132.97358830077,376.427249451754,32.1721777030844,7636.87610180119,265.94717660154
"Y_3__R_rdLen",-46.9718697515872,12.3633722391154,-3819.55779917928,133.62609682864,380.99366201997,32.9533502302601,7639.11559835857,267.252193657279
"Y_3__R_aspctN",-55.0124662219014,13.3483954360673,-3827.5983956496,134.529100606076,386.212219070489,33.9814002215014,7655.19679129919,269.058201212152
"Y_3__R_Forest",-75.1259539938394,14.8433383273212,-3847.71188342142,135.13333201193,415.265445317073,36.3557881763514,7695.42376684285,270.266664023859
"Y_3__R_AP",-150.274888032421,20.0868885349556,-3922.86081746012,134.181808246482,455.822594532382,34.1545421509347,7845.72163492023,268.363616492965
