"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_4__L_CnpyMxd",0,0,-814.395743671959,57.736648398598,52.5765011739374,7.43968111677674,1628.79148734392,115.473296797196
"Y_4__L_SoilTSt",-3.34022114317659,5.87428289007902,-817.735964815144,57.907271236645,50.9520451962769,7.28690587610088,1635.47192963029,115.81454247329
"Y_4__L_VegTot",-5.9950906193928,5.05021421479801,-820.390834291352,57.5386678899992,52.7382783276526,7.667742862694,1640.7816685827,115.077335779998
"Y_3__R_rdLen",-6.61224717569062,4.87069732378301,-821.007990847636,58.0339617608753,48.254166469297,7.22440478285351,1642.01598169527,116.067923521751
"Y_4__L_Crop",-7.30781502045012,5.64302304661877,-821.703558692406,58.0642692091191,50.574841846347,7.02291852347849,1643.40711738481,116.128538418238
"Y_3__L_CnpyMxd",-9.15238161135195,7.15984153257373,-823.548125283304,58.5110937480072,46.6947388504487,7.70407181788283,1647.09625056661,117.022187496014
"Y_4__L_aspctN",-9.75332324524068,5.46435160138296,-824.14906691721,58.65898847972,53.5893461867015,8.72065265679244,1648.29813383442,117.31797695944
"Y_4__R_aspctN",-10.1725794369048,5.63750313072851,-824.56832310887,58.3650169871091,48.6188687569058,6.8981945417281,1649.13664621774,116.730033974218
"Y_4__L_Pasture",-10.4434678981225,6.39781606855055,-824.839211570083,58.4303833624072,52.8048076634573,7.56254740680875,1649.67842314017,116.860766724814
"Y_3__L_Crop",-10.5712396265345,9.28996387083433,-824.966983298497,58.2920108504799,44.3434564641218,7.16633136313822,1649.93396659699,116.58402170096
"Y_4__R_npp",-11.9744065349709,6.61258368068413,-826.370150206933,58.4972260012035,50.6064640374863,7.2262458417985,1652.74030041387,116.994452002407
"Y_3__L_aspctN",-12.510658539485,9.45162785778742,-826.906402211446,58.24381759936,42.1953481779828,6.56274016812001,1653.81280442289,116.48763519872
"Y_2__R_AP",-12.963250460742,8.95268329719195,-827.358994132698,58.2915255256562,39.3319893863333,6.65460315263179,1654.7179882654,116.583051051312
"Y_3__L_SoilTSt",-12.9736664668622,9.14363592403573,-827.369410138824,58.6508981632802,44.4197036428745,7.25998920921558,1654.73882027765,117.30179632656
"Y_3__R_grwnDD0",-13.3560836914914,7.9066766399749,-827.751827363435,58.6273971875375,58.1017635864341,8.06817620404247,1655.50365472687,117.254794375075
"Y_4__R_grwnDD0",-13.8232808316841,6.33976289311608,-828.21902450365,58.4660832559255,61.4040276031596,8.38024679810421,1656.4380490073,116.932166511851
"Y_3__L_VegTot",-14.075512956454,9.06703323026034,-828.471256628416,57.8396236670179,44.3186733799583,6.67701446109911,1656.94251325683,115.679247334036
"Y_2__R_grwnDD0",-14.4784449418842,8.37254316364893,-828.874188613827,58.2548621500092,53.7856172268775,7.55856719673908,1657.74837722765,116.509724300018
"Y_4__R_Edge",-15.0659525528526,7.87636120612996,-829.461696224818,59.7786424178707,51.4638027474686,7.23054643449133,1658.92339244964,119.557284835741
"Y_4__R_lcH",-16.7149216502263,7.16832987657717,-831.110665322177,58.3440595402992,55.6672021952327,7.75948454092104,1662.22133064435,116.688119080598
"Y_4__R_grwnDD0_sq",-17.6381909460546,6.6700157693457,-832.033934618032,58.0365883403369,53.7024661337654,7.8048713283785,1664.06786923606,116.073176680674
"Y_3__L_Pasture",-17.70576596564,9.61905222692659,-832.101509637599,59.0537814261073,48.4699751342175,7.35590868371253,1664.2030192752,118.107562852215
"Y_3__R_grwnDD0_sq",-17.8396929484182,8.56227694194188,-832.235436620384,58.1700792985369,46.3945875223588,7.09617051872403,1664.47087324077,116.340158597074
"Y_2__R_grwnDD0_sq",-18.6862198583197,8.92846261274543,-833.081963530287,58.0297117734191,39.7327427245213,6.38374370639807,1666.16392706057,116.059423546838
"Y_2__L_Crop",-19.9120913964677,9.80044814488013,-834.30783506847,58.8735245272571,38.3718106268363,7.31376864971304,1668.61567013694,117.747049054514
"Y_3__R_aspctN",-19.9227091888308,8.91160431752137,-834.318452860789,59.4907744817667,43.5942690740461,6.73625991829569,1668.63690572158,118.981548963533
